id_acidente;id_veiculo;tipo_veiculo;sexo_condutor;idade_condutor;categoria_habilitacao;usa_cinto_seguranca;estado_alcoolizacao;escolaridade
D011100001;1;AU;M;21;SI;X;BR;7
D011100002;1;MO;M;27;SI;X;BR;7
D011100002;2;AU;M;61;SI;X;BR;6
D011100003;1;MO;M;30;SI;X;BR;5
D011100003;2;AU;X;SI;SI;X;BR;8
D011100004;1;AU;M;35;SI;X;BR;5
D011100004;2;AU;M;48;SI;X;BR;5
D011100005;1;MO;M;28;SI;X;BR;7
D011100005;2;AU;M;71;SI;X;BR;8
D011100006;1;MO;M;21;SI;X;BR;5
D011100007;1;AU;M;24;SI;X;BR;8
D011100008;1;MO;M;SI;SI;X;BR;5
D011100008;2;AU;X;SI;SI;X;BR;8
D011100008;3;AU;M;28;SI;X;BR;5
D011100009;1;OU;X;SI;SI;X;BR;8
D011100010;1;AU;M;28;SI;X;BR;5
D011100011;1;AU;M;22;SI;X;BR;6
D011100012;1;AU;X;34;SI;X;BR;5
D011100013;1;AU;M;52;SI;X;BR;8
D011100013;2;AU;M;34;SI;X;BR;7
D011100014;1;AU;M;28;SI;X;BR;8
D011100015;1;OU;M;40;HA;X;BR;3
D011100016;1;ON;M;48;SI;X;BR;3
D011100017;1;AU;F;44;SI;X;BR;7
D011100018;1;MO;M;26;SI;X;BR;3
D011100018;2;AU;M;61;SI;X;BR;7
D011100019;1;SI;X;SI;SI;X;BR;8
D011100020;1;AU;X;SI;SI;X;BR;8
D011100021;1;AU;F;30;SI;X;BR;7
D011100022;1;AU;X;SI;SI;X;BR;8
D011100023;1;AU;M;39;SI;X;BR;3
D011100023;2;BI;M;12;NE;X;BR;3
D011100024;1;MO;F;31;HA;X;BR;7
D011100024;2;CM;M;27;HA;X;BR;5
D011100025;1;MO;X;SI;SI;X;BR;8
D011100026;1;MO;M;37;SI;X;BR;7
D011100027;1;SI;M;29;SI;X;BR;8
D011100028;1;MO;M;25;SI;X;BR;5
D011100028;2;AU;M;28;SI;X;BR;5
D011100029;1;AU;M;47;SI;X;BR;7
D011100030;1;MO;X;SI;SI;X;BR;8
D011100030;2;MO;M;26;SI;X;BR;5
D011100030;3;AU;X;SI;SI;X;BR;8
D011100031;1;CA;M;29;SI;X;BR;7
D011100031;2;CM;F;34;SI;X;BR;7
D011100032;1;ON;M;22;SI;X;BR;5
D011100033;1;CM;M;52;SI;X;BR;3
D011100033;2;BI;M;36;NE;X;BR;8
D011100034;1;AU;F;38;HA;X;BR;7
D011100035;1;AU;F;44;SI;X;BR;7
D011100035;2;SI;M;38;SI;X;BR;3
D011100036;1;AU;F;36;SI;X;BR;7
D011100036;2;MO;M;36;SI;X;BR;8
D011100037;1;AU;M;23;SI;X;BR;5
D011100038;1;MO;M;27;SI;X;BR;5
D011100039;1;MO;M;24;SI;X;BR;5
D011100040;1;MO;M;30;SI;X;BR;7
D011100040;2;MO;M;42;SI;X;BR;3
D011100041;1;MO;M;34;SI;X;BR;7
D011100041;2;AU;M;32;SI;X;BR;5
D011100042;1;MO;M;46;SI;X;BR;3
D011100043;1;OU;M;45;HA;X;BR;5
D011100044;1;CA;M;44;SI;X;BR;4
D011100044;2;CM;M;38;SI;X;BR;5
D011100045;1;AU;X;SI;SI;X;BR;8
D011100045;2;CM;F;31;SI;X;BR;7
D011100045;3;AU;X;SI;SI;X;BR;8
D011100045;4;AU;F;25;SI;X;BR;8
D011100047;1;MO;M;19;IN;X;BR;3
D011100047;2;AU;X;SI;SI;X;BR;8
D011100048;1;MO;M;62;SI;X;BR;7
D011100048;2;AU;M;25;SI;X;BR;3
D011100049;1;OU;M;58;HA;X;BR;3
D011100050;1;AU;M;57;SI;X;BR;8
D011100050;2;CM;M;26;SI;X;BR;6
D011100051;1;AU;M;44;SI;X;BR;7
D011100052;1;AU;M;43;SI;X;BR;5
D011100053;1;AU;M;53;SI;X;BR;7
D011100053;2;OU;M;SI;HA;X;BR;8
D011100054;1;AU;M;41;SI;X;BR;8
D011100054;2;AU;F;22;SI;X;BR;3
D011100055;1;MO;M;50;SI;X;BR;3
D011100056;1;MO;M;26;IN;X;BR;7
D011100057;1;MO;M;27;SI;X;BR;3
D011100058;1;MO;X;SI;SI;X;BR;8
D011100059;1;MO;M;25;HA;X;BR;3
D011100059;2;CM;M;43;HA;X;BR;5
D011100060;1;AU;M;24;SI;X;BR;6
D011100061;1;AU;M;51;SI;X;BR;3
D011100062;1;MO;M;25;SI;X;BR;8
D011100062;2;OU;M;31;HA;X;BR;4
D011100062;3;AU;M;40;SI;X;BR;3
D011100063;1;MO;M;24;SI;X;BR;5
D011100064;1;AU;M;48;HA;X;BR;4
D011100065;1;CM;M;SI;SI;X;BR;8
D011100066;1;MO;X;SI;SI;X;BR;8
D011100066;2;BI;M;13;NE;X;BR;2
D011100067;1;AU;M;60;HA;X;BR;3
D011100067;2;MO;X;SI;SI;X;BR;8
D011100067;3;MO;M;43;HA;X;BR;3
D011100068;1;AU;M;38;SI;X;BR;7
D011100068;2;AU;M;58;SI;X;BR;3
D011100069;1;MO;M;30;SI;X;BR;3
D011100069;2;AU;M;26;SI;X;SA;5
D011100070;1;AU;F;30;SI;X;BR;5
D011100070;2;AU;M;SI;SI;X;BR;8
D011100071;1;OU;M;39;HA;X;BR;3
D011100072;1;MO;X;SI;SI;X;BR;8
D011100073;1;MO;M;39;SI;X;BR;8
D011100073;2;AU;M;30;SI;X;BR;5
D011100074;1;MO;F;21;SI;X;BR;4
D011100074;2;AU;F;SI;SI;X;BR;8
D011100075;1;MO;M;27;HA;X;BR;8
D011100075;2;AU;M;29;HA;X;BR;7
D011100076;1;MO;F;SI;SI;X;BR;8
D011100076;2;AU;M;72;SI;X;BR;5
D011100076;3;AU;M;59;SI;X;BR;8
D011100076;4;CM;M;31;SI;X;BR;5
D011100077;1;OU;M;39;HA;X;BR;7
D011100078;1;CM;X;SI;SI;X;BR;8
D011100079;1;OU;M;47;HA;X;BR;3
D011100080;1;AU;F;28;SI;X;BR;7
D011100080;2;CM;M;23;SI;X;BR;7
D011100080;3;AU;M;28;SI;X;BR;5
D011100080;4;AU;M;48;SI;X;BR;3
D011100081;1;AU;F;38;SI;X;BR;5
D011100081;2;ON;M;63;SI;X;BR;3
D011100082;1;MO;M;30;SI;X;BR;5
D011100082;2;AU;M;50;SI;X;BR;7
D011100083;1;ON;M;43;SI;X;BR;3
D011100084;1;MO;M;27;SI;X;BR;5
D011100084;2;AU;M;27;SI;X;BR;3
D011100085;1;MO;M;26;HA;X;BR;7
D011100085;2;AU;M;27;HA;X;BR;7
D011100086;1;AU;M;29;SI;X;BR;8
D011100087;1;MO;M;27;SI;X;BR;7
D011100087;2;AU;X;SI;SI;X;BR;8
D011100088;1;AU;M;49;SI;X;BR;8
D011100088;2;OU;M;61;HA;X;BR;8
D011100089;1;MO;M;42;SI;X;BR;8
D011100089;2;AU;M;30;IN;X;BR;5
D011100090;1;AU;M;32;SI;X;BR;3
D011100091;1;OU;M;43;HA;X;BR;2
D011100092;1;MO;M;25;SI;X;BR;5
D011100092;2;AU;F;49;SI;X;BR;6
D011100093;1;MO;M;27;SI;X;BR;5
D011100093;2;MO;M;25;SI;X;BR;3
D011100094;1;MO;M;21;SI;X;BR;3
D011100094;2;AU;F;47;SI;X;BR;8
D011100095;1;MO;M;19;SI;X;BR;5
D011100095;2;AU;M;31;SI;X;BR;7
D011100095;3;AU;M;37;SI;X;BR;7
D011100096;1;MO;F;29;SI;X;BR;3
D011100096;2;OU;M;45;HA;X;BR;8
D011100097;1;AU;M;25;SI;X;BR;7
D011100098;1;AU;M;27;SI;X;BR;5
D011100099;1;MO;X;SI;SI;X;BR;8
D011100099;2;AU;F;55;SI;X;BR;8
D011100099;3;AU;F;38;SI;X;BR;7
D011100099;4;AU;M;41;SI;X;BR;5
D011100099;5;AU;M;28;SI;X;BR;7
D011100100;1;AU;M;23;SI;X;BR;5
D011100100;2;MO;M;36;SI;X;BR;8
D011100101;1;CM;M;21;HA;X;BR;5
D011100102;1;MO;F;39;SI;X;BR;5
D011100102;2;AU;F;38;SI;X;BR;7
D011100103;1;AU;M;50;SI;X;SA;8
D011100103;2;BI;M;33;NE;X;BR;8
D011100103;3;AU;M;41;SI;X;BR;3
D011100103;4;AU;X;SI;SI;X;BR;8
D011100104;1;AU;M;30;SI;X;BR;5
D011100105;1;AU;F;62;SI;X;BR;6
D011100105;2;MO;M;35;SI;X;BR;6
D011100106;1;AU;M;48;SI;X;BR;5
D011100107;1;AU;M;35;SI;X;BR;5
D011100107;2;MO;M;19;SI;X;BR;3
D011100108;1;AU;M;36;SI;X;BR;7
D011100109;1;AU;M;43;SI;X;BR;7
D011100109;2;MO;M;25;IN;X;BR;3
D011100110;1;MO;M;34;SI;X;BR;5
D011100111;1;OU;M;40;HA;X;BR;3
D011100111;2;AU;M;57;SI;X;BR;7
D011100112;1;AU;F;20;SI;X;BR;6
D011100113;1;AU;X;SI;SI;X;BR;8
D011100113;2;MO;M;40;HA;X;BR;2
D011100114;1;BI;M;21;NE;X;BR;6
D011100115;1;SI;X;SI;SI;X;BR;8
D011100115;2;MO;M;21;SI;X;BR;3
D011100116;1;MO;M;25;SI;X;BR;3
D011100116;2;AU;M;42;SI;X;BR;5
D011100117;1;MO;M;31;IN;X;BR;3
D011100117;2;AU;M;34;SI;X;BR;4
D011100118;1;MO;M;31;SI;X;BR;5
D011100118;2;AU;M;52;SI;X;BR;5
D011100118;3;MC;M;32;SI;X;BR;2
D011100120;1;ON;M;25;SI;X;BR;5
D011100120;2;OU;M;28;HA;X;BR;2
D011100121;1;MO;M;26;IN;X;BR;3
D011100121;2;MO;M;30;SI;X;BR;3
D011100121;3;AU;M;45;SI;X;BR;5
D011100122;1;AU;M;76;SI;X;BR;2
D011100122;2;BI;M;11;NE;X;BR;2
D011100123;1;MO;M;21;SI;X;BR;3
D011100123;2;AU;M;30;SI;X;BR;7
D011100124;1;MO;M;49;SI;X;BR;8
D011100124;2;MO;M;SI;SI;X;BR;8
D011100124;3;AU;M;69;SI;X;BR;7
D011100125;1;CA;M;49;SI;X;BR;2
D011100125;2;AU;F;32;SI;X;BR;7
D011100125;3;AU;M;49;SI;X;BR;7
D011100125;4;CA;X;SI;SI;X;BR;8
D011100126;1;MO;M;27;SI;X;BR;5
D011100126;2;AU;F;49;SI;X;BR;7
D011100127;1;MO;M;23;IN;X;BR;5
D011100127;2;MO;X;SI;SI;X;BR;8
D011100128;1;AU;M;22;SI;X;BR;5
D011100128;2;CA;M;45;SI;X;BR;5
D011100129;1;AU;F;23;SI;X;BR;5
D011100130;1;MO;M;22;SI;X;BR;5
D011100130;2;CA;X;SI;SI;X;BR;8
D011100131;1;MO;M;48;SI;X;BR;3
D011100131;2;AU;M;33;SI;X;BR;7
D011100132;1;CM;M;51;SI;X;BR;2
D011100133;1;MO;M;31;SI;X;BR;3
D011100133;2;AU;F;44;SI;X;BR;7
D011100134;1;CA;M;31;SI;X;BR;8
D011100135;1;MO;F;22;SI;X;BR;5
D011100135;2;SI;F;SI;SI;X;BR;8
D011100136;1;MO;M;27;SI;X;BR;5
D011100137;1;MO;M;22;SI;X;BR;5
D011100138;1;CM;M;39;SI;X;BR;5
D011100138;2;OU;M;43;HA;X;BR;5
D011100139;1;MO;M;25;IN;X;BR;8
D011100139;2;AU;M;24;SI;X;BR;7
D011100140;1;MO;M;19;SI;X;BR;3
D011100140;2;AU;M;47;SI;X;BR;3
D011100141;1;MO;M;41;SI;X;BR;5
D011100142;1;MO;M;37;SI;X;BR;5
D011100142;2;AU;M;82;SI;X;BR;5
D011100143;1;AU;X;SI;SI;X;BR;8
D011100144;1;MO;M;25;SI;X;BR;3
D011100145;1;MO;M;34;SI;X;BR;5
D011100145;2;AU;M;27;HA;X;BR;5
D011100146;1;AU;M;24;SI;X;BR;3
D011100147;1;AU;M;22;SI;X;BR;6
D011100148;1;MO;M;50;SI;X;BR;5
D011100148;2;CM;M;40;SI;X;BR;6
D011100148;3;CM;X;SI;SI;X;BR;8
D011100149;1;MO;M;49;SI;X;BR;3
D011100149;2;AU;X;SI;SI;X;BR;8
D011100150;1;MO;M;26;IN;X;BR;4
D011100150;2;CM;M;37;SI;X;BR;7
D011100151;1;AU;M;69;SI;X;BR;3
D011100152;1;MC;M;31;SI;X;BR;5
D011100152;2;CM;M;29;SI;X;BR;8
D011100152;3;MO;M;23;IN;X;BR;5
D011100153;1;CA;M;43;SI;X;BR;3
D011100153;2;CM;M;33;SI;X;BR;7
D011100154;1;CM;M;28;SI;X;BR;7
D011100154;2;SI;X;SI;SI;X;BR;8
D011100155;1;MO;M;39;SI;X;BR;3
D011100156;1;MO;M;22;IN;X;BR;3
D011100156;2;CA;M;31;SI;X;BR;4
D011100157;1;AU;M;45;SI;X;BR;6
D011100157;2;AU;M;24;SI;X;BR;3
D011100158;1;MO;M;18;SI;X;BR;3
D011100158;2;CA;M;49;SI;X;BR;5
D011100159;1;AU;F;51;SI;X;BR;3
D011100159;2;AU;M;26;IN;X;SA;3
D011100160;1;CM;M;36;SI;X;BR;3
D011100160;2;AU;M;25;SI;X;BR;5
D011100161;1;AU;F;43;SI;X;BR;3
D011100161;2;AU;X;SI;SI;X;BR;3
D011100162;1;AU;M;37;SI;X;BR;2
D011100163;1;MO;M;27;HA;X;BR;8
D011100163;2;CM;M;38;HA;X;BR;3
D011100164;1;AU;M;43;SI;X;BR;3
D011100165;1;CM;M;21;SI;X;BR;3
D011100165;2;AU;M;26;SI;X;BR;3
D011100166;1;MO;M;31;SI;X;BR;2
D011100166;2;CM;M;65;SI;X;BR;7
D011100167;1;SI;X;SI;SI;X;BR;8
D011100167;2;AU;M;42;SI;X;BR;3
D011100168;1;OU;M;50;HA;X;BR;3
D011100169;1;BI;M;18;NE;X;BR;5
D011100170;1;AU;M;33;SI;X;BR;5
D011100170;2;AU;M;39;SI;X;BR;7
D011100172;1;SI;X;SI;SI;X;BR;8
D011100173;1;MO;M;37;SI;X;BR;5
D011100173;2;AU;M;20;SI;X;BR;5
D011100174;1;BI;X;SI;NE;X;BR;8
D011100175;1;OU;M;39;HA;X;BR;5
D011100176;1;AU;M;26;SI;X;BR;5
D011100177;1;AU;M;68;SI;X;BR;2
D011100177;2;AU;X;SI;SI;X;BR;8
D011100178;1;MO;M;33;SI;X;BR;6
D011100179;1;CM;M;60;SI;X;BR;5
D011100179;2;MO;M;30;SI;X;BR;3
D011100180;1;MO;M;SI;SI;X;BR;8
D011100180;2;AU;M;54;SI;X;BR;5
D011100181;1;ON;M;40;SI;X;BR;3
D011100182;1;AU;F;46;SI;X;BR;8
D011100182;2;AU;M;65;SI;X;BR;5
D011100183;1;CM;M;27;SI;X;BR;6
D011100183;2;AU;F;35;SI;X;BR;7
D011100184;1;AU;M;47;SI;X;BR;5
D011100184;2;BI;F;49;NE;X;BR;5
D011100185;1;MO;M;33;SI;X;SA;5
D011100185;2;AU;M;55;SI;X;BR;7
D011100186;1;MO;X;SI;SI;X;BR;8
D011100187;1;AU;M;33;SI;X;BR;7
D011100188;1;CO;M;44;NE;X;BR;5
D011100189;1;OU;M;52;HA;X;SA;2
D011100190;1;AU;M;38;SI;X;BR;7
D011100191;1;SI;X;SI;SI;X;BR;8
D011100192;1;MO;M;53;SI;X;BR;5
D011100192;2;AU;M;68;SI;X;BR;5
D011100193;1;MO;F;34;SI;X;BR;5
D011100193;2;AU;M;43;SI;X;BR;3
D011100194;1;AU;M;27;SI;X;BR;7
D011100195;1;MO;M;26;SI;X;BR;8
D011100195;2;AU;M;37;SI;X;BR;8
D011100195;3;AU;F;62;SI;X;BR;5
D011100196;1;MO;M;22;SI;X;BR;3
D011100196;2;AU;M;27;SI;X;BR;8
D011100197;1;MO;M;29;SI;X;BR;5
D011100197;2;AU;M;34;SI;X;BR;3
D011100198;1;MO;M;21;SI;X;BR;5
D011100198;2;AU;F;56;SI;X;BR;7
D011100199;1;MO;M;28;SI;X;BR;3
D011100199;2;AU;M;31;SI;X;BR;7
D011100200;1;AU;M;23;SI;X;BR;3
D011100201;1;AU;M;28;SI;X;BR;5
D011100201;2;AU;M;61;SI;X;BR;3
D011100202;1;OU;X;SI;HA;X;BR;8
D011100203;1;AU;M;25;SI;X;BR;3
D011100204;1;AU;M;32;SI;X;BR;7
D011100204;2;AU;M;45;SI;X;BR;5
D011100205;1;MO;M;21;SI;X;BR;3
D011100205;2;AU;F;44;SI;X;BR;7
D011100206;1;ON;M;37;SI;X;BR;5
D011100207;1;AU;M;44;SI;X;BR;3
D011100207;2;AU;M;30;SI;X;BR;7
D011100208;1;MO;M;19;SI;X;BR;3
D011100209;1;AU;X;SI;SI;X;BR;8
D011100209;2;AU;M;34;SI;X;BR;7
D011100210;1;MO;M;21;SI;X;BR;3
D011100210;2;AU;M;SI;SI;X;BR;8
D011100211;1;MO;M;40;SI;X;BR;3
D011100211;2;SI;X;SI;SI;X;BR;8
D011100212;1;AU;M;27;SI;X;BR;7
D011100212;2;CM;M;46;SI;X;BR;3
D011100213;1;MO;M;42;SI;X;BR;3
D011100213;2;AU;F;24;SI;X;BR;6
D011100214;1;AU;M;SI;SI;X;BR;8
D011100215;1;MO;M;20;SI;X;BR;3
D011100215;2;AU;F;29;SI;X;BR;5
D011100216;1;AU;M;35;SI;X;BR;5
D011100216;2;AU;M;39;SI;X;BR;5
D011100217;1;AU;M;32;IN;X;BR;3
D011100218;1;SI;M;SI;SI;X;BR;8
D011100219;1;AU;F;22;SI;X;BR;6
D011100219;2;AU;M;25;SI;X;BR;7
D011100220;1;MO;F;36;SI;X;BR;3
D011100220;2;CM;M;23;SI;X;BR;6
D011100221;1;MO;M;26;SI;X;BR;5
D011100221;2;AU;M;27;SI;X;BR;5
D011100222;1;MO;M;39;SI;X;BR;5
D011100222;2;AU;M;38;SI;X;BR;7
D011100223;1;AU;M;27;SI;X;BR;3
D011100224;1;AU;F;79;SI;X;BR;7
D011100224;2;AU;M;52;HA;X;BR;7
D011100225;1;MO;M;22;SI;X;BR;4
D011100225;2;AU;F;47;HA;X;BR;7
D011100226;1;MO;M;33;SI;X;BR;8
D011100226;2;AU;M;45;SI;X;BR;5
D011100227;1;MC;M;49;HA;X;BR;3
D011100227;2;MC;M;44;HA;X;BR;2
D011100228;1;AU;M;25;HA;X;BR;6
D011100229;1;MO;M;24;HA;X;BR;3
D011100229;2;AU;M;75;HA;X;BR;3
D011100230;1;AU;F;49;SI;X;BR;7
D011100230;2;AU;M;28;SI;X;BR;5
D011100231;1;MO;M;39;SI;X;BR;3
D011100231;2;AU;M;40;SI;X;BR;7
D011100232;1;MO;M;36;SI;X;BR;7
D011100232;2;CM;F;21;SI;X;BR;6
D011100233;1;CM;M;44;SI;X;BR;7
D011100233;2;AU;M;33;SI;X;BR;7
D011100234;1;MO;M;42;SI;X;BR;5
D011100234;2;AU;X;SI;SI;X;BR;8
D011100235;1;MO;M;19;SI;X;BR;5
D011100235;2;AU;F;39;SI;X;BR;5
D011100236;1;MO;X;SI;SI;X;BR;8
D011100237;1;MO;X;SI;SI;X;BR;8
D011100238;1;MO;M;39;SI;X;BR;3
D011100238;2;MO;M;29;SI;X;BR;5
D011100239;1;MO;M;23;SI;X;BR;8
D011100240;1;AU;M;54;SI;X;SA;7
D011100240;2;AU;M;22;SI;X;BR;6
D011100240;3;AU;M;37;SI;X;BR;5
D011100241;1;MO;M;31;SI;X;BR;5
D011100241;2;AU;X;SI;SI;X;BR;8
D011100242;1;AU;M;39;SI;X;BR;5
D011100243;1;MO;M;34;SI;X;BR;5
D011100243;2;AU;M;21;SI;X;BR;6
D011100244;1;AU;M;39;SI;X;BR;4
D011100245;1;MO;M;53;SI;X;BR;7
D011100245;2;AU;M;52;HA;X;BR;5
D011100246;1;AU;F;41;SI;X;BR;8
D011100246;2;AU;M;30;SI;X;BR;7
D011100247;1;MO;M;30;SI;X;BR;8
D011100247;2;AU;M;35;SI;X;BR;6
D011100248;1;AU;M;68;SI;X;BR;7
D011100249;1;AU;M;46;SI;X;BR;7
D011100249;2;AU;M;51;SI;X;BR;7
D011100249;3;AU;M;38;SI;X;BR;7
D011100250;1;MO;M;30;SI;X;BR;3
D011100250;2;AU;M;20;SI;X;BR;5
D011100251;1;MO;M;26;SI;X;BR;5
D011100251;2;CA;M;33;SI;X;BR;2
D011100252;1;MO;M;50;SI;X;BR;6
D011100252;2;AU;F;30;SI;X;BR;5
D011100253;1;MO;M;26;SI;X;BR;2
D011100253;2;AU;M;43;SI;X;BR;5
D011100254;1;MO;M;36;SI;X;BR;7
D011100254;2;AU;F;55;SI;X;BR;7
D011100255;1;AU;M;37;SI;X;SA;3
D011100255;2;AU;M;46;SI;X;BR;3
D011100256;1;MO;M;48;SI;X;BR;8
D011100257;1;AU;M;28;SI;X;BR;2
D011100257;2;AU;M;61;SI;X;BR;3
D011100258;1;AU;M;18;IN;X;BR;3
D011100258;2;AU;M;62;SI;X;BR;5
D011100259;1;AU;M;56;HA;X;BR;3
D011100259;2;AU;F;26;HA;X;BR;7
D011100260;1;AU;F;62;HA;X;BR;3
D011100260;2;MO;M;23;SI;X;BR;8
D011100260;3;AU;F;24;HA;X;BR;3
D011100261;1;MO;M;19;HA;X;BR;3
D011100261;2;AU;M;45;HA;X;BR;5
D011100262;1;AU;X;SI;SI;X;BR;8
D011100262;2;MO;M;30;IN;X;BR;8
D011100263;1;OU;M;32;HA;X;BR;4
D011100263;2;OU;M;50;HA;X;BR;3
D011100264;1;AU;M;38;HA;X;BR;3
D011100265;1;AU;M;34;SI;X;BR;7
D011100265;2;MO;M;38;SI;X;BR;5
D011100266;1;CA;X;SI;SI;X;BR;8
D011100267;1;AU;X;SI;SI;X;BR;8
D011100268;1;AU;M;75;SI;X;BR;3
D011100268;2;MO;M;18;HA;X;BR;5
D011100269;1;OU;X;SI;SI;X;BR;8
D011100270;1;MO;M;27;IN;X;BR;5
D011100270;2;AU;M;36;SI;X;BR;3
D011100271;1;AU;M;25;IN;X;BR;3
D011100272;1;MO;M;16;IN;X;BR;3
D011100272;2;SI;X;SI;SI;X;BR;8
D011100273;1;OU;M;53;HA;X;BR;3
D011100274;1;AU;M;23;SI;X;BR;6
D011100274;2;AU;M;42;SI;X;BR;5
D011100275;1;MO;M;37;SI;X;BR;2
D011100275;2;AU;X;SI;SI;X;BR;8
D011100276;1;MO;M;26;SI;X;BR;3
D011100276;2;AU;M;82;SI;X;BR;2
D011100277;1;MO;M;23;SI;X;BR;2
D011100277;2;AU;F;58;SI;X;BR;7
D011100278;1;MO;F;17;IN;X;BR;3
D011100279;1;AU;M;SI;SI;X;BR;8
D011100280;1;AU;M;78;SI;X;BR;5
D011100280;2;MO;M;21;IN;X;BR;5
D011100281;1;AU;M;64;SI;X;BR;3
D011100281;2;AU;M;27;SI;X;BR;5
D011100281;3;AU;M;31;SI;X;BR;5
D011100282;1;AU;F;33;SI;X;BR;8
D011100282;2;MO;M;26;SI;X;BR;5
D011100283;1;AU;M;23;SI;X;BR;6
D011100284;1;AU;M;45;SI;X;BR;8
D011100284;2;AU;M;32;SI;X;BR;3
D011100284;3;CM;M;53;SI;X;SA;8
D011100284;4;AU;M;35;SI;X;BR;3
D011100285;1;AU;M;25;IN;X;BR;5
D011100285;2;MO;M;26;SI;X;BR;6
D011100286;1;AU;F;38;SI;X;BR;5
D011100287;1;AU;M;24;SI;X;SA;5
D011100288;1;AU;M;26;SI;X;BR;5
D011100288;2;AU;M;27;SI;X;BR;5
D011100288;3;AU;F;28;SI;X;BR;5
D011100288;4;MO;X;SI;SI;X;BR;8
D011100289;1;MO;M;28;HA;X;BR;5
D011100289;2;AU;M;75;HA;X;BR;7
D011100290;1;AU;F;25;SI;X;BR;8
D011100290;2;AU;F;57;SI;X;BR;8
D011100290;3;MO;M;25;SI;X;BR;3
D011100291;1;AU;M;48;SI;X;BR;2
D011100291;2;MO;M;27;SI;X;BR;5
D011100291;3;MO;M;33;SI;X;BR;3
D011100292;1;MO;M;17;IN;X;BR;2
D011100292;2;AU;F;34;SI;X;BR;2
D011100293;1;AU;M;37;IN;X;AA;3
D011100293;2;AU;M;51;SI;X;BR;7
D011100294;1;MO;X;SI;SI;X;BR;7
D011100294;2;MO;M;35;SI;X;BR;5
D011100296;1;MO;M;22;SI;X;BR;7
D011100297;1;AU;M;25;SI;X;BR;3
D011100297;2;MO;M;50;SI;X;BR;3
D011100298;1;OU;M;45;HA;X;BR;3
D011100299;1;MO;M;22;HA;X;BR;4
D011100300;1;CM;M;43;SI;X;BR;7
D011100300;2;AU;M;34;SI;X;BR;5
D011100301;1;AU;M;42;SI;X;AA;3
D011100302;1;MO;F;47;SI;X;BR;3
D011100303;1;AU;F;38;SI;X;BR;8
D011100303;2;MO;M;28;SI;X;BR;5
D011100304;1;MC;M;44;SI;X;BR;3
D011100304;2;AU;M;30;SI;X;BR;7
D011100305;1;AU;X;SI;SI;X;BR;8
D011100305;2;MO;M;28;SI;X;BR;3
D011100306;1;AU;M;33;HA;X;BR;3
D011100306;2;MO;M;25;HA;X;BR;5
D011100308;1;AU;M;54;SI;X;BR;3
D011100309;1;AU;X;SI;SI;X;BR;8
D011100309;2;MO;M;24;SI;X;BR;2
D011100310;1;MO;M;40;SI;X;BR;3
D011100311;1;AU;X;SI;SI;X;BR;8
D011100311;2;MO;M;36;SI;X;BR;7
D011100312;1;MO;M;19;SI;X;BR;3
D011100312;2;CM;M;40;SI;X;BR;5
D011100313;1;AU;M;22;SI;X;BR;3
D011100315;1;MO;M;SI;SI;X;BR;8
D011100316;1;AU;M;27;SI;X;BR;5
D011100317;1;MO;X;SI;SI;X;BR;8
D011100317;2;BI;M;38;NE;X;BR;3
D011100318;1;AU;M;43;SI;X;BR;8
D011100319;1;MO;M;18;SI;X;BR;5
D011100319;2;AU;X;SI;SI;X;BR;8
D011100320;1;MO;X;SI;SI;X;BR;8
D011100322;1;AU;M;68;SI;X;BR;5
D011100322;2;AU;M;22;SI;X;BR;8
D011100323;1;MO;M;30;SI;X;BR;5
D011100323;2;AU;M;29;IN;X;BR;5
D011100324;1;AU;M;45;SI;X;BR;5
D011100324;2;AU;F;33;SI;X;BR;7
D011100325;1;AU;M;27;SI;X;BR;4
D011100325;2;AU;M;17;IN;X;BR;3
D011100326;1;MO;M;39;SI;X;BR;5
D011100326;2;AU;F;28;SI;X;BR;7
D011100327;1;MO;F;27;SI;X;BR;5
D011100327;2;AU;X;SI;SI;X;BR;8
D011100328;1;MO;M;52;SI;X;BR;3
D011100328;2;SI;X;SI;SI;X;BR;8
D011100330;1;AU;M;26;SI;X;BR;5
D011100331;1;AU;M;48;SI;X;BR;5
D011100331;2;AU;M;24;SI;X;BR;7
D011100332;1;SI;X;SI;SI;X;BR;8
D011100333;1;MO;M;32;SI;X;BR;3
D011100333;2;MO;M;28;SI;X;BR;5
D011100334;1;MO;M;21;SI;X;BR;3
D011100334;2;AU;F;41;SI;X;BR;8
D011100334;3;AU;M;27;SI;X;BR;7
D011100335;1;ON;M;54;SI;X;BR;3
D011100335;2;AU;M;52;SI;X;BR;6
D011100335;3;CM;M;35;SI;X;BR;5
D011100336;1;AU;F;55;SI;X;BR;7
D011100337;1;CM;M;50;SI;X;BR;3
D011100337;2;AU;M;40;SI;X;SA;7
D011100338;1;MO;M;30;IN;X;BR;5
D011100338;2;AU;F;30;SI;X;BR;5
D011100339;1;MO;M;29;SI;X;BR;3
D011100339;2;AU;F;50;SI;X;BR;7
D011100340;1;MO;M;34;SI;X;BR;5
D011100340;2;AU;M;41;SI;X;BR;7
D011100341;1;MO;M;36;SI;X;BR;3
D011100342;1;MO;M;19;IN;X;BR;3
D011100343;1;MO;M;15;IN;X;BR;3
D011100343;2;CM;M;29;SI;X;BR;2
D011100344;1;MO;M;22;SI;X;BR;5
