codlog;tipo;titulo;preposicao;nome;cep
72383;R; ; ;FELIPE BOMTEMPO NETO;03665-000
72384;PC; ; ;RAUL PEDROSA;03805-000
72385;PC; ; ;RODOLFO AMOEDO;03807-000
72386;PC; ; ;DOMINGOS CORREA;03806-000
72387;PC; ; ;RAIMUNDO RAMOS;03807-000
72389;PC; ; ;DESTERRO DE MALTA;03580-000
72390;PC; ; ;NAVIRAI;03365-000
72391;PC; ; ;JOSE MOREIRA;03237-000
72395;PC; ; ;INACIO MARCONDES CABRAL;08180-000
72396;PC; ; ;NOVA CURUCA;08032-000
72397;PC; ; ;RAINHA-DAS-AVENCAS;08050-000
72398;PC; ; ;SEM DENOMINACAO (S AMA);00000-000
72399;PC; ; ;MARTIN ANDERSEN;04930-000
72403;RUA; ; ;MARINO SILVANI;03616-000
72405;PC; ; ;CAMPO LINDO;05203-000
72406;PC; ; ;FLOR DA IMPERATRIZ;05208-000
72407;R; ; ;LOUSADA;01020-000
72410;R; ; ;HERBART;05072-000
72412;R; ; ;CESAR BECCARIA;01547-000
72416;R; ; ;ERNESTO DE FIORI;04297-000
72417;R; ; ;MANET;04297-000
72418;R; ; ;SEM DENOMINACAO;00000-000
72419;R;DR; ;FROTA PESSOA;03711-000
72420;R; ; ;LUIS LOPES;04218-000
72421;R; ;DO;ACAL;03347-000
72422;R; ; ;ZINCO;03516-000
72424;TV; ; ;JOAO JUFRE;03662-000
72426;R; ; ;CIRO;02128-000
72427;R; ; ;MAIA GUIMARAES;02258-000
72431;R; ; ;TOME FERREIRA;02402-000
72432;R; ; ;ANTONIO FERREIRA DA SILVA;02435-000
72433;R; ; ;PONTAL DA BARRA;02440-000
72435;R; ; ;PANCAS;02067-000
72437;R; ; ;SALVADOR LIGABUE;02722-000
72438;TV; ; ;SEM DENOMINACAO (LIMAO);02721-000
72439;R;CAP; ;FERNANDO MACHADO;02566-000
72440;R; ; ;SEM DENOMINACAO;00000-000
72442;R; ; ;PEDRO DIAS COSTA;05102-000
72443;R; ; ;POLICARPO DA CRUZ;05307-000
72444;R; ; ;SEGUIDILHA;05688-000
72447;R; ; ;CONFITEOR;04614-000
72449;R; ; ;ASSUR;04679-000
72450;R; ; ;AFONJA;04645-000
72451;R; ; ;TAKEO YOSHIMURA;04648-000
72454;TV; ; ;GALHEROS;04387-000
72455;R;DR; ;FRANCISCO PIRES MARTINS;05812-000
72456;R; ; ;GALIZA;04784-000
72457;R; ; ;IBARRA;04781-000
72462;R; ; ;LUDOVICO CARRACCI;05523-000
72463;R; ; ;SEM DENOMINACAO;00000-000
72464;R; ;DO;INDIANISMO;02839-000
72465;R; ; ;JOSE ELOI OTONI;02804-000
72466;R; ; ;ARLETTE MARI;00000-000
72467;R; ; ;FIGUEIREDO SARMENTO;02630-000
72468;R; ; ;LUIZ DA SILVA;02373-000
72469;R; ; ;MANUEL PEIXOTO;02356-000
72470;R; ; ;HONORIO PACHECO;02354-000
72471;R; ; ;MARTINHO GONCALVES;02354-000
72472;R; ; ;LUCIO PAIM;03732-000
72474;R; ; ;ADAO MAGALHAES;02354-000
72475;R; ; ;ADELAIDE COUTINHO;03613-000
72476;VE; ; ;SEM DENOMINACAO (CANG);03710-000
72478;R; ; ;MIGUEL ANTUNES GARCIA;03737-000
72479;R; ; ;JOSE TAVARES BASTOS;03735-000
72480;R;DR; ;ANTONIO MARIA TEIXEIRA;03509-000
72481;R;BR;DE;SOUSA QUEIROZ;03627-000
72482;RP; ; ;SEM DENOMINACAO (V MAT);03541-000
72483;R; ; ;SEBASTIAO CRUZ;03807-000
72485;RP; ; ;SEM DENOMINACAO (PENHA);03651-000
72486;R; ; ;HEITOR DINIZ CAMPELLO;03732-000
72487;R; ; ;CAMPO DE SANTANA;08070-000
72488;R; ; ;IACAMACIRI;08011-000
72491;R; ; ;JUFARI;02468-000
72494;R; ; ;BAIXO DO TINGUI;03548-000
72497;R; ; ;UIRAUNA;08215-000
72498;R;PROFA; ;MARIA LICIO RIZZO;08285-000
72499;R; ; ;SEM DENOMINACAO;00000-000
72504;R; ; ;MASSAPE;08441-000
72505;TV; ; ;FRANCISCO FLORES;02466-000
72508;R; ; ;MARIA JOSE DA SILVA;03434-000
72512;R; ; ;ANTONIO DUARTE;04244-000
72513;R; ; ;ANTONIO FALCATO;04256-000
72514;R; ; ;SEBASTOPOL;04653-000
72516;R; ; ;JACINTO VIEIRA;04653-000
72517;R; ; ;NHANDUTIBA;04446-000
72521;R; ; ;PAULO FRANCISCO PASCALE;02419-000
72522;R; ; ;NOGUEIRA DA MAIA;02474-000
72524;R; ; ;GIL ROSEIRO;05654-000
72526;R; ; ;ONETACAS;02952-000
72527;R; ; ;URUCURANA;08061-000
72529;TV; ; ;TRAPEZISTA;02474-000
72530;R; ; ;MARINS DE ARAUJO VIANA;02420-000
72531;R; ; ;EMIDIO CARBONARI;02419-000
72533;R;CAP; ;MANUEL PINTO DE ALMEIDA;08440-000
72534;R; ; ;BRAS DA COSTA RUBIN;02436-000
72535;R; ; ;JOSE GONCALVES DE FREITAS;08210-000
72538;R; ; ;BENTO MUNHOZ;08245-000
72539;R; ; ;AGRIMONIA;08041-000
72541;R; ; ;CHA DAS MISSOES;08041-000
72544;R; ; ;ANGELO CALDINI;08031-000
72548;R; ; ;IBIXUMA;08245-000
72551;R; ; ;IBA-GUACU;08041-000
72554;R; ; ;REAL HORTO;08245-000
72555;R; ; ;BACURUBU;08230-000
72559;R; ; ;QUITUNGO;08225-000
72560;R; ; ;APOLINARIO VIEIRA COELHO;02478-000
72561;R; ; ;LUIS DUPRAT FIGUEIREDO;02419-000
72563;R; ; ;CAPIM BRANCO;03934-000
72564;R; ; ;OTAVIO KELLY;03920-000
72565;R; ; ;PAVONIA;03251-000
72566;TV; ; ;JOAQUIM CARDOSO;02614-000
72568;R; ; ;SEM DENOMINACAO;00000-000
72571;VP; ; ;GUARACOBA;02420-000
72572;R; ; ;FELICIANO DAVID;04476-000
72574;R; ; ;DIOGO DE OLIVEIRA NEVES;04823-000
72576;VP; ; ;HERMANN GEHARD RUDIGER;02415-110
72577;R; ; ;FELIPE RODRIGUES;04950-000
72579;R; ; ;ALEIXO LEME DE FARO;05866-000
72580;R; ; ;JOSE CONHAGO POMARE;02433-000
72581;R;PROFA; ;EUNICE BECHARA DE OLIVEIRA;05884-000
72583;R; ; ;MARUJADA;05762-000
72584;VP; ; ;GUARAI;02474-000
72585;R; ; ;CHRISTIANO FREDERICO HAHNEMANN;02434-000
72587;R; ; ;JACARANDATA;02423-000
72588;R; ; ;MANUEL ALVES;02415-000
72589;R; ; ;ILHEUS DO PRATA;02478-000
72590;R; ; ;JOAQUIM DARCAS;05525-000
72592;R; ; ;LUIGI ILLICA;04425-000
72593;R; ; ;JOAO CABRAL DO NASCIMENTO;02423-000
72594;R; ; ;LUCIANO CONTI;04430-000
72596;R; ; ;ANGELINA CASSARO PALMA;02435-000
72598;R; ; ;SEM DENOMINACAO;00000-000
72601;R; ; ;RUBEN DARIO;04860-000
72605;R; ; ;SAMARINDA;04836-000
72607;R; ; ;SEM DENOMINACAO;00000-000
72609;R;PROF; ;JOSE CASSIANO DE FIGUEIREDO;05874-000
72610;R; ; ;AGUILAS;05877-000
72611;R; ; ;ALVARO DE BRITO ALAMBERT;02618-000
72613;PS; ; ;SEM DENOMINACAO;00000-000
72614;R; ; ;ANDRE JOAO;05550-000
72615;R; ; ;F (J. DAS PAINEIRAS-PERUS);00000-000
72616;R; ; ;ANTONIO JUSTIANO;05202-000
72618;R; ; ;IPUMIRIM;05202-000
72619;R; ; ;ANARI;05201-000
72622;R; ; ;RODRIGUES BACELAR;08140-000
72625;R; ; ;DIAS FALCAO;08370-000
72626;R; ; ;LEANDRO CAMPANARI;08380-000
72627;R; ; ;CUSTODIO DO NASCIMENTO;08380-000
72628;R; ; ;GAMA BELES;08380-000
72631;R; ; ;ALMEIDA LARA;08380-000
72632;TV; ; ;TUCUPI;08250-000
72633;TV; ; ;NECO;02471-000
72634;R; ; ;DENIS ANTONIO CASEMIRO;03743-000
72635;TV; ; ;GUILHERMINA SALVIONI;02247-000
72636;R; ; ;FRANCISCO SCARDAPANE;04331-000
72637;R; ; ;MANOEL DE SANTANA;02440-000
72639;R; ; ;LUCY ANNA CARROZO LA TORRE;08250-000
72640;TV; ; ;CARLOS CORDEIRO;08250-000
72641;TV; ; ;SEM DENOMINACAO;08250-000
72648;R;DR; ;ROBERTO GOUVEIA PAULLINI;02471-000
72653;VE; ; ;SEM DENOMINACAO (IPIR);04176-000
72654;VE; ; ;SEM DENOMINACAO (S AMA);04445-000
72655;PS; ; ;SEM DENOMINACAO;00000-000
72667;R; ; ;NOBEL SICARD CORSINI;02736-000
72670;R; ; ;INACIO MONTEIRO;08490-000
72673;PC;GAL; ;BERTHOLDO KLINGER;02471-000
72674;PS; ;DE;SERVIDAO;00000-000
72677;R; ; ;BARROCAS;04163-000
72678;VE; ; ;QUATRO (SANT);02474-000
72680;R;ENG; ;DAGOBERTO SALLES FILHO;04653-000
72682;R; ; ;RIO UNA;02983-000
72683;R; ; ;QUINA-BRAVA;08040-000
72684;R; ; ;ARGELIA;03579-000
72688;TV; ; ;AVELINO GURGEL;05116-000
72689;TV;REV; ;PAULO HASSE-PROFESSOR;02913-000
72690;R; ; ;PASCOAL MELANTONIO;04653-000
72691;R;MONS; ;JOAO PEDRO FUSENIG;04918-000
72692;R; ; ;MARTINHO JACOB KREMER;04918-000
72693;R; ; ;HENRY CHARLES POTEL;02862-000
72695;R; ; ;SERVIDAO PUBLICA (S. MANDAQUI);02543-000
72696;R; ; ;SERRA DO CABURAI;08461-000
72697;R; ; ;LUZER COGAN;03382-000
72698;R; ; ;GOMES MARTINS;08420-000
72699;R;CEL; ;ANTONIO ALAMBERT;02419-000
